alpha: 0.0 | chunks selected: 1 | total candidates: 57
alpha: 0.0 | chunks selected: 1 | total candidates: 48
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 29
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 42
alpha: 0.0 | chunks selected: 1 | total candidates: 48
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 35
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 36
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 36
alpha: 0.0 | chunks selected: 1 | total candidates: 60
alpha: 0.0 | chunks selected: 1 | total candidates: 60
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 51
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 36
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 48
alpha: 0.0 | chunks selected: 1 | total candidates: 39
alpha: 0.0 | chunks selected: 1 | total candidates: 45
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 42
alpha: 0.0 | chunks selected: 1 | total candidates: 39
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 0 | total candidates: 27
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 84
alpha: 0.0 | chunks selected: 1 | total candidates: 36
alpha: 0.0 | chunks selected: 0 | total candidates: 59
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 69
alpha: 0.0 | chunks selected: 1 | total candidates: 36
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 53
alpha: 0.0 | chunks selected: 1 | total candidates: 36
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 42
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 30
alpha: 0.0 | chunks selected: 1 | total candidates: 48
alpha: 0.1 | chunks selected: 1 | total candidates: 57
alpha: 0.1 | chunks selected: 1 | total candidates: 48
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 29
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 42
alpha: 0.1 | chunks selected: 1 | total candidates: 48
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 35
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 2 | total candidates: 36
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 2 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 36
alpha: 0.1 | chunks selected: 1 | total candidates: 60
alpha: 0.1 | chunks selected: 1 | total candidates: 60
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 51
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 36
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 48
alpha: 0.1 | chunks selected: 1 | total candidates: 39
alpha: 0.1 | chunks selected: 3 | total candidates: 45
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 42
alpha: 0.1 | chunks selected: 1 | total candidates: 39
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 27
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 2 | total candidates: 84
alpha: 0.1 | chunks selected: 1 | total candidates: 36
alpha: 0.1 | chunks selected: 1 | total candidates: 59
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 69
alpha: 0.1 | chunks selected: 1 | total candidates: 36
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 53
alpha: 0.1 | chunks selected: 1 | total candidates: 36
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 42
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 30
alpha: 0.1 | chunks selected: 1 | total candidates: 48
alpha: 0.2 | chunks selected: 1 | total candidates: 57
alpha: 0.2 | chunks selected: 1 | total candidates: 48
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 29
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 42
alpha: 0.2 | chunks selected: 1 | total candidates: 48
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 35
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 2 | total candidates: 36
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 36
alpha: 0.2 | chunks selected: 1 | total candidates: 60
alpha: 0.2 | chunks selected: 1 | total candidates: 60
alpha: 0.2 | chunks selected: 2 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 51
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 36
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 48
alpha: 0.2 | chunks selected: 1 | total candidates: 39
alpha: 0.2 | chunks selected: 2 | total candidates: 45
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 42
alpha: 0.2 | chunks selected: 1 | total candidates: 39
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 27
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 2 | total candidates: 84
alpha: 0.2 | chunks selected: 1 | total candidates: 36
alpha: 0.2 | chunks selected: 1 | total candidates: 59
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 30
alpha: 0.2 | chunks selected: 1 | total candidates: 69
alpha: 0.2 | chunks selected: 1 | total candidates: 36
